[0.007s][info][gc] Using Parallel
[0,638s][info][gc] GC(0) Pause Young (Allocation Failure) 509M->60M(1963M) 63,081ms
[1,055s][info][gc] GC(1) Pause Young (Allocation Failure) 568M->89M(1963M) 89,423ms
[1,386s][info][gc] GC(2) Pause Young (Allocation Failure) 593M->111M(1963M) 89,796ms
[1,652s][info][gc] GC(3) Pause Young (Allocation Failure) 619M->130M(1963M) 65,463ms
[1,933s][info][gc] GC(4) Pause Young (Allocation Failure) 629M->147M(1963M) 60,549ms
[2,218s][info][gc] GC(5) Pause Young (Allocation Failure) 657M->162M(1880M) 61,027ms
[2,400s][info][gc] GC(6) Pause Young (Allocation Failure) 581M->174M(1921M) 52,891ms
[2,621s][info][gc] GC(7) Pause Young (Allocation Failure) 597M->185M(1922M) 79,357ms
[2,827s][info][gc] GC(8) Pause Young (Allocation Failure) 609M->195M(1853M) 55,789ms
[3,001s][info][gc] GC(9) Pause Young (Allocation Failure) 616M->205M(1913M) 41,886ms
[3,189s][info][gc] GC(10) Pause Young (Allocation Failure) 623M->214M(1821M) 37,144ms
[3,354s][info][gc] GC(11) Pause Young (Allocation Failure) 609M->223M(1910M) 26,396ms
[3,521s][info][gc] GC(12) Pause Young (Allocation Failure) 632M->231M(1912M) 25,792ms
[3,678s][info][gc] GC(13) Pause Young (Allocation Failure) 626M->239M(1913M) 26,645ms
[3,827s][info][gc] GC(14) Pause Young (Allocation Failure) 646M->247M(1912M) 25,909ms
[3,971s][info][gc] GC(15) Pause Young (Allocation Failure) 636M->255M(1917M) 27,403ms
[4,129s][info][gc] GC(16) Pause Young (Allocation Failure) 657M->262M(1915M) 26,334ms
[4,274s][info][gc] GC(17) Pause Young (Allocation Failure) 673M->269M(1924M) 26,410ms
[4,422s][info][gc] GC(18) Pause Young (Allocation Failure) 692M->277M(1920M) 26,901ms
[4,565s][info][gc] GC(19) Pause Young (Allocation Failure) 675M->283M(1932M) 27,488ms
[4,722s][info][gc] GC(20) Pause Young (Allocation Failure) 727M->291M(1928M) 27,285ms
[4,872s][info][gc] GC(21) Pause Young (Allocation Failure) 709M->298M(1940M) 27,837ms
[5,026s][info][gc] GC(22) Pause Young (Allocation Failure) 726M->304M(1936M) 28,317ms
[5,198s][info][gc] GC(23) Pause Young (Allocation Failure) 743M->311M(1949M) 28,738ms
[5,375s][info][gc] GC(24) Pause Young (Allocation Failure) 758M->318M(1944M) 29,636ms
[5,537s][info][gc] GC(25) Pause Young (Allocation Failure) 774M->324M(1957M) 29,337ms
[5,710s][info][gc] GC(26) Pause Young (Allocation Failure) 790M->331M(1953M) 31,396ms
[5,910s][info][gc] GC(27) Pause Young (Allocation Failure) 806M->338M(1964M) 31,391ms
[6,132s][info][gc] GC(28) Pause Young (Allocation Failure) 824M->345M(1960M) 35,366ms
[6,373s][info][gc] GC(29) Pause Young (Allocation Failure) 839M->351M(1970M) 52,188ms
[6,559s][info][gc] GC(30) Pause Young (Allocation Failure) 855M->358M(1967M) 31,907ms
[6,776s][info][gc] GC(31) Pause Young (Allocation Failure) 871M->365M(1974M) 33,328ms
[6,983s][info][gc] GC(32) Pause Young (Allocation Failure) 888M->372M(1973M) 32,943ms
[7,179s][info][gc] GC(33) Pause Young (Allocation Failure) 904M->378M(1977M) 32,250ms
[7,377s][info][gc] GC(34) Pause Young (Allocation Failure) 872M->384M(1976M) 38,780ms
[7,574s][info][gc] GC(35) Pause Young (Allocation Failure) 886M->390M(1978M) 32,234ms
[7,764s][info][gc] GC(36) Pause Young (Allocation Failure) 900M->397M(1978M) 33,976ms
[7,947s][info][gc] GC(37) Pause Young (Allocation Failure) 914M->403M(1979M) 33,183ms
[8,144s][info][gc] GC(38) Pause Young (Allocation Failure) 928M->409M(1979M) 34,623ms
[8,332s][info][gc] GC(39) Pause Young (Allocation Failure) 941M->415M(1979M) 33,717ms
[8,522s][info][gc] GC(40) Pause Young (Allocation Failure) 955M->421M(1968M) 34,340ms
[8,714s][info][gc] GC(41) Pause Young (Allocation Failure) 966M->427M(1978M) 34,863ms
[8,898s][info][gc] GC(42) Pause Young (Allocation Failure) 918M->433M(1968M) 35,949ms
[9,090s][info][gc] GC(43) Pause Young (Allocation Failure) 930M->438M(1977M) 34,522ms
[9,275s][info][gc] GC(44) Pause Young (Allocation Failure) 941M->444M(1967M) 35,445ms
