[0.004s][info][gc] Using Serial
[0,714s][info][gc] GC(0) Pause Young (Allocation Failure) 546M->63M(1979M) 92,361ms
[1,174s][info][gc] GC(1) Pause Young (Allocation Failure) 599M->92M(1979M) 137,311ms
[1,513s][info][gc] GC(2) Pause Young (Allocation Failure) 628M->114M(1979M) 63,266ms
[1,757s][info][gc] GC(3) Pause Young (Allocation Failure) 652M->134M(1979M) 47,461ms
[2,029s][info][gc] GC(4) Pause Young (Allocation Failure) 679M->151M(1979M) 42,414ms
[2,366s][info][gc] GC(5) Pause Young (Allocation Failure) 694M->167M(1979M) 60,057ms
[2,684s][info][gc] GC(6) Pause Young (Allocation Failure) 700M->181M(1979M) 60,523ms
[2,967s][info][gc] GC(7) Pause Young (Allocation Failure) 725M->195M(1979M) 40,359ms
[3,221s][info][gc] GC(8) Pause Young (Allocation Failure) 724M->207M(1979M) 38,469ms
[3,459s][info][gc] GC(9) Pause Young (Allocation Failure) 739M->218M(1979M) 34,108ms
[3,711s][info][gc] GC(10) Pause Young (Allocation Failure) 747M->229M(1979M) 34,106ms
[3,961s][info][gc] GC(11) Pause Young (Allocation Failure) 775M->240M(1979M) 35,972ms
[4,218s][info][gc] GC(12) Pause Young (Allocation Failure) 779M->251M(1979M) 38,150ms
[4,461s][info][gc] GC(13) Pause Young (Allocation Failure) 779M->260M(1979M) 37,546ms
[4,759s][info][gc] GC(14) Pause Young (Allocation Failure) 779M->269M(1979M) 42,165ms
[4,977s][info][gc] GC(15) Pause Young (Allocation Failure) 802M->279M(1979M) 32,067ms
[5,206s][info][gc] GC(16) Pause Young (Allocation Failure) 792M->287M(1979M) 38,987ms
[5,452s][info][gc] GC(17) Pause Young (Allocation Failure) 816M->296M(1979M) 34,424ms
[5,719s][info][gc] GC(18) Pause Young (Allocation Failure) 841M->304M(1979M) 34,017ms
[5,954s][info][gc] GC(19) Pause Young (Allocation Failure) 824M->312M(1979M) 33,945ms
[6,169s][info][gc] GC(20) Pause Young (Allocation Failure) 845M->320M(1979M) 31,856ms
[6,391s][info][gc] GC(21) Pause Young (Allocation Failure) 865M->328M(1979M) 31,840ms
[6,618s][info][gc] GC(22) Pause Young (Allocation Failure) 846M->335M(1979M) 35,274ms
[6,835s][info][gc] GC(23) Pause Young (Allocation Failure) 863M->342M(1979M) 35,190ms
[7,054s][info][gc] GC(24) Pause Young (Allocation Failure) 881M->350M(1979M) 32,510ms
[7,262s][info][gc] GC(25) Pause Young (Allocation Failure) 855M->356M(1979M) 33,011ms
[7,474s][info][gc] GC(26) Pause Young (Allocation Failure) 871M->363M(1979M) 33,214ms
[7,696s][info][gc] GC(27) Pause Young (Allocation Failure) 888M->370M(1979M) 34,491ms
[7,913s][info][gc] GC(28) Pause Young (Allocation Failure) 903M->377M(1979M) 34,220ms
[8,156s][info][gc] GC(29) Pause Young (Allocation Failure) 918M->383M(1979M) 34,714ms
[8,366s][info][gc] GC(30) Pause Young (Allocation Failure) 886M->389M(1979M) 32,143ms
[8,593s][info][gc] GC(31) Pause Young (Allocation Failure) 900M->395M(1979M) 34,015ms
[8,811s][info][gc] GC(32) Pause Young (Allocation Failure) 913M->401M(1979M) 35,512ms
[9,028s][info][gc] GC(33) Pause Young (Allocation Failure) 927M->408M(1979M) 35,000ms
[9,246s][info][gc] GC(34) Pause Young (Allocation Failure) 941M->414M(1979M) 34,254ms
[9,480s][info][gc] GC(35) Pause Young (Allocation Failure) 954M->420M(1979M) 49,725ms
[9,729s][info][gc] GC(36) Pause Young (Allocation Failure) 966M->426M(1979M) 36,865ms
[9,959s][info][gc] GC(37) Pause Young (Allocation Failure) 972M->432M(1979M) 37,412ms
[10,178s][info][gc] GC(38) Pause Young (Allocation Failure) 930M->437M(1979M) 46,667ms
[10,388s][info][gc] GC(39) Pause Young (Allocation Failure) 942M->443M(1979M) 35,022ms
[10,614s][info][gc] GC(40) Pause Young (Allocation Failure) 954M->448M(1979M) 35,059ms
[10,844s][info][gc] GC(41) Pause Young (Allocation Failure) 965M->454M(1979M) 49,472ms
[11,064s][info][gc] GC(42) Pause Young (Allocation Failure) 977M->459M(1979M) 37,652ms
[11,286s][info][gc] GC(43) Pause Young (Allocation Failure) 989M->465M(1979M) 35,947ms
[11,514s][info][gc] GC(44) Pause Young (Allocation Failure) 1001M->470M(1979M) 42,082ms
[11,758s][info][gc] GC(45) Pause Young (Allocation Failure) 1012M->476M(1979M) 39,346ms
[11,965s][info][gc] GC(46) Pause Young (Allocation Failure) 964M->481M(1979M) 35,696ms
[12,171s][info][gc] GC(47) Pause Young (Allocation Failure) 973M->485M(1979M) 35,914ms
[12,398s][info][gc] GC(48) Pause Young (Allocation Failure) 983M->490M(1979M) 34,851ms
[12,623s][info][gc] GC(49) Pause Young (Allocation Failure) 993M->495M(1979M) 37,909ms
[12,841s][info][gc] GC(50) Pause Young (Allocation Failure) 1003M->500M(1979M) 40,340ms
[13,079s][info][gc] GC(51) Pause Young (Allocation Failure) 1012M->505M(1979M) 37,838ms
[13,296s][info][gc] GC(52) Pause Young (Allocation Failure) 1022M->510M(1979M) 38,960ms
[13,521s][info][gc] GC(53) Pause Young (Allocation Failure) 1032M->515M(1979M) 40,537ms
[13,773s][info][gc] GC(54) Pause Young (Allocation Failure) 1042M->520M(1979M) 37,556ms
[13,995s][info][gc] GC(55) Pause Young (Allocation Failure) 1051M->524M(1979M) 36,700ms
[14,227s][info][gc] GC(56) Pause Young (Allocation Failure) 1061M->529M(1979M) 38,244ms
[14,453s][info][gc] GC(57) Pause Young (Allocation Failure) 1071M->534M(1979M) 37,812ms
[14,678s][info][gc] GC(58) Pause Young (Allocation Failure) 1014M->538M(1979M) 41,382ms
[14,899s][info][gc] GC(59) Pause Young (Allocation Failure) 1022M->543M(1979M) 37,159ms
[15,128s][info][gc] GC(60) Pause Young (Allocation Failure) 1029M->547M(1979M) 56,854ms
[15,361s][info][gc] GC(61) Pause Young (Allocation Failure) 1037M->619M(1979M) 61,430ms
[15,612s][info][gc] GC(62) Pause Young (Allocation Failure) 1114M->692M(1979M) 66,658ms
[15,855s][info][gc] GC(63) Pause Young (Allocation Failure) 1190M->766M(1979M) 70,729ms
